Counter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	tmp
61019	-4.864007949829101600	0.792434215545654300	-8.386537551879882800	-0.061314545571804047	0.000171965206391178	-0.248263180255889890	-0.225870519876480100	0.018521375954151154	0.476182639598846440	
61020	-4.869661808013916000	0.792382836341857910	-8.391811370849609400	-0.026940705254673958	0.010200363583862782	-0.257256269454956050	-0.225493147969245910	0.017889121547341347	0.476063817739486690	
61021	-4.874778747558593700	0.768430173397064210	-8.375684738159179700	-0.035239405930042267	-0.017278583720326424	-0.246342062950134280	-0.224852368235588070	0.016363156959414482	0.476079225540161130	
61022	-4.891480445861816400	0.788674950599670410	-8.373149871826171900	-0.044860050082206726	0.018725777044892311	-0.237439885735511780	-0.226718142628669740	0.018121201545000076	0.477053195238113400	
61023	-4.878927230834960900	0.781243801116943360	-8.395318031311035200	-0.050513911992311478	-0.015090081840753555	-0.250575751066207890	-0.226520165801048280	0.016659045591950417	0.476011544466018680	
61024	-4.862056732177734400	0.762888967990875240	-8.388780593872070300	-0.029675431549549103	0.002367294859141111	-0.237596437335014340	-0.224594801664352420	0.018368171527981758	0.476105064153671260	
61025	-4.877004623413085900	0.796059489250183110	-8.387940406799316400	-0.030096614733338356	-0.001865110360085964	-0.255088359117507930	-0.225999608635902400	0.016890168190002441	0.476164966821670530	
61026	-4.871511936187744100	0.784979462623596190	-8.393665313720703100	-0.041935201734304428	-0.006293365731835365	-0.252807497978210450	-0.225984409451484680	0.018385661765933037	0.476436585187911990	
61027	-4.888198852539062500	0.786741256713867190	-8.394989013671875000	0.001352642197161913	-0.010536269284784794	-0.253197610378265380	-0.225940734148025510	0.018848452717065811	0.477221101522445680	
61028	-4.891428947448730500	0.777595520019531250	-8.373293876647949200	-0.021978281438350677	-0.019517946988344193	-0.235564455389976500	-0.225742638111114500	0.017637778073549271	0.476181358098983760	
61029	-4.886183261871337900	0.773849725723266600	-8.389780044555664100	-0.057060647755861282	-0.004162258468568325	-0.251570969820022580	-0.224744692444801330	0.018643151968717575	0.475711256265640260	
61030	-4.882486820220947300	0.759076833724975590	-8.393692970275878900	-0.052720338106155396	-0.009617882780730724	-0.251612097024917600	-0.224837288260459900	0.017607171088457108	0.476348936557769780	
61031	-4.889826774597168000	0.784938216209411620	-8.384105682373046900	-0.058317702263593674	0.021033097058534622	-0.255856126546859740	-0.225491940975189210	0.020403929054737091	0.476082772016525270	
61032	-4.876828670501709000	0.788707911968231200	-8.380798339843750000	-0.059419393539428711	0.000265867216512561	-0.259185701608657840	-0.225023850798606870	0.016909705474972725	0.475296944379806520	
61033	-4.876918792724609400	0.777593851089477540	-8.388178825378418000	-0.056155167520046234	0.011203159578144550	-0.256988465785980220	-0.226647987961769100	0.017668385058641434	0.476013779640197750	
61034	-4.879059314727783200	0.786757469177246090	-8.400673866271972700	-0.039952304214239120	0.017824526876211166	-0.257115125656127930	-0.227860629558563230	0.017752690240740776	0.474924653768539430	
61035	-4.874969482421875000	0.794264733791351320	-8.378968238830566400	-0.045205108821392059	0.005724725779145956	-0.252751767635345460	-0.226219594478607180	0.017743706703186035	0.476811498403549190	
61036	-4.866012573242187500	0.818268954753875730	-8.387960433959960900	-0.054956827312707901	0.028658801689743996	-0.250434279441833500	-0.226497188210487370	0.019279507920145988	0.476421803236007690	
61037	-4.871181964874267600	0.798000752925872800	-8.373595237731933600	-0.023544028401374817	-0.000046096702135401	-0.209327250719070430	-0.226428180932998660	0.016437625512480736	0.475364416837692260	
61038	-4.871262550354003900	0.792435050010681150	-8.379095077514648400	-0.027060743421316147	-0.021464722231030464	-0.266080647706985470	-0.226398512721061710	0.017919728532433510	0.475896239280700680	
61039	-4.867670536041259800	0.792425930500030520	-8.384625434875488300	-0.032978296279907227	0.004561806563287973	-0.239768683910369870	-0.226718455553054810	0.017492499202489853	0.477048456668853760	
61040	-4.861932277679443400	0.766616761684417720	-8.381495475769043000	-0.051411826163530350	0.000144872275996022	-0.241782307624816890	-0.225877583026885990	0.018905293196439743	0.476055353879928590	
61041	-4.875017166137695300	0.773917794227600100	-8.386468887329101600	-0.034560151398181915	0.008004027418792248	-0.259363830089569090	-0.225456237792968750	0.019364530220627785	0.476725786924362180	
61042	-4.885936260223388700	0.766515493392944340	-8.379018783569335900	-0.082098774611949921	0.004553974606096745	-0.256776273250579830	-0.225013777613639830	0.018546279519796371	0.477777123451232910	
61043	-4.872992992401123000	0.759179770946502690	-8.381283760070800800	-0.037886988371610641	-0.000726022408343852	-0.263712972402572630	-0.225658133625984190	0.016920089721679688	0.475400298833847050	
61044	-4.852935314178466800	0.759203433990478520	-8.396322250366210900	-0.052746992558240891	0.000230174176977016	-0.251579701900482180	-0.225701555609703060	0.016960261389613152	0.474619567394256590	
61045	-4.862091064453125000	0.770275235176086430	-8.388685226440429700	-0.068060249090194702	0.041775804013013840	-0.253511726856231690	-0.225999608635902400	0.016890168190002441	0.476164966821670530	
61046	-4.878784179687500000	0.788673400878906250	-8.386175155639648400	-0.050791990011930466	0.009048497304320335	-0.259232938289642330	-0.227226346731185910	0.017742304131388664	0.474821299314498900	
61047	-4.867557048797607400	0.783210456371307370	-8.381126403808593800	-0.041031595319509506	-0.007327930070459843	-0.260453790426254270	-0.225742638111114500	0.017637778073549271	0.476181358098983760	
61048	-4.871456146240234400	0.803479731082916260	-8.386188507080078100	-0.041853953152894974	-0.013974267058074474	-0.250666677951812740	-0.224273711442947390	0.016917938366532326	0.477276444435119630	
61049	-4.876895904541015600	0.810875296592712400	-8.378701210021972700	-0.050661887973546982	-0.006300486624240875	-0.256028383970260620	-0.225643947720527650	0.016277998685836792	0.475655794143676760	
61050	-4.893379688262939500	0.807140767574310300	-8.371049880981445300	-0.050070170313119888	-0.022896520793437958	-0.234266400337219240	-0.226057454943656920	0.017069468274712563	0.475124955177307130	
61051	-4.895406246185302700	0.807088971138000490	-8.380045890808105500	-0.052705075591802597	-0.001974396873265505	-0.250540941953659060	-0.224422633647918700	0.019204765558242798	0.476897776126861570	
61052	-4.874994277954101600	0.807199299335479740	-8.376991271972656200	-0.054924670606851578	-0.019453553482890129	-0.254937946796417240	-0.224382162094116210	0.017269846051931381	0.475326538085937500	
61053	-4.875188827514648400	0.810849130153656010	-8.385990142822265600	-0.041751950979232788	-0.001983572961762548	-0.245183080434799190	-0.225173324346542360	0.018064869567751884	0.474909752607345580	
61054	-4.867763996124267600	0.820133090019226070	-8.382457733154296900	-0.044017519801855087	-0.012888688594102859	-0.250658988952636720	-0.225215911865234380	0.015598878264427185	0.476447850465774540	
61055	-4.852647304534912100	0.788852512836456300	-8.374227523803710900	-0.044329155236482620	0.003608678467571735	-0.261487036943435670	-0.224288418889045720	0.016428368166089058	0.477012425661087040	
61056	-4.863843441009521500	0.764744400978088380	-8.385087013244628900	-0.046295564621686935	-0.031440984457731247	-0.257193565368652340	-0.224595218896865840	0.017487987875938416	0.476098448038101200	
